WorkerId,Input.model1_summary1,Input.model2_summary1,Input.model1_summary2,Input.model2_summary2,Input.model1_summary3,Input.model2_summary3,Input.model1_summary4,Input.model2_summary4,Input.model1_summary5,Input.model2_summary5,Input.id1,Input.id2,Input.id3,Input.id4,Input.id5,Answer.pref1,Answer.pref2,Answer.pref3,Answer.pref4,Answer.pref5
1,"A U.S. citizen, Jamal al-Labani, was killed in a mortar strike in Yemen while trying to evacuate his family. The violence in Yemen has been intensifying, with Houthi rebels taking control and Saudi Arabia launching airstrikes. The U.S. government has not evacuated its citizens, causing criticism from Yemeni-American advocates. The Red Cross is delivering medical supplies to Yemen, where many are injured from the conflict.",Jamal al-Labani had hoped to bring his pregnant wife and 2-year-daughter back to the United States from war-torn Yemen.,"Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his pregnant wife and daughter. The violence in Yemen has escalated, leaving many Yemeni-Americans trapped and in need of assistance. The U.S. government has not made plans to evacuate its citizens, causing criticism from advocacy groups. Meanwhile, intense airstrikes and an electrical blackout continue to affect the country.",Jamal al-Labani was killed in a mortar strike in Yemen last week.,"Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his family from the war-torn country. The violence in Yemen has escalated, with more than 200 people killed in the past 11 days. The U.S. government has not made plans to evacuate private citizens from Yemen, causing criticism from Yemeni-American advocates. Fierce fighting continues and there is an electrical blackout in parts of the country. Saudi Arabia has signed off on the delivery of medical supplies to Yemen.",Jamal al-Labani was killed in a mortar strike in Yemen.,"Jamal al-Labani was killed in a mortar strike in Yemen last week, his family says.","Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his family. The violence in Yemen has escalated, with over 200 people killed in the past 11 days. Yemeni-Americans are trapped in the conflict and are not receiving enough help from the U.S. government. The U.S. State Department has no plans to evacuate private citizens from Yemen, causing criticism from advocacy groups. Fierce fighting continues in Yemen, with an electrical blackout in parts of the country and political moves that could further divide the military. Saudi Arabia has signed off on the delivery of medical supplies and personnel to Yemen.","Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen, making him the first American victim in the current conflict. He had been trying to evacuate his family from the country, but was unable to due to the escalating violence. The U.S. government has faced criticism for not doing enough to help Yemeni-Americans trapped in the conflict. The fighting continues and there is an electrical blackout in parts of the country. The International Committee of the Red Cross is working to deliver medical supplies and aid to those affected by the violence.",The U.S. State Department says there are no current plans to evacuate private U.S. citizens from Yemen.,2,2,2,1,2,-1,-1,-1,1,-1
2,"A U.S. citizen, Jamal al-Labani, was killed in a mortar strike in Yemen while trying to evacuate his family. The violence in Yemen has been intensifying, with Houthi rebels taking control and Saudi Arabia launching airstrikes. The U.S. government has not evacuated its citizens, causing criticism from Yemeni-American advocates. The Red Cross is delivering medical supplies to Yemen, where many are injured from the conflict.",Jamal al-Labani had hoped to bring his pregnant wife and 2-year-daughter back to the United States from war-torn Yemen.,"Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his pregnant wife and daughter. The violence in Yemen has escalated, leaving many Yemeni-Americans trapped and in need of assistance. The U.S. government has not made plans to evacuate its citizens, causing criticism from advocacy groups. Meanwhile, intense airstrikes and an electrical blackout continue to affect the country.",Jamal al-Labani was killed in a mortar strike in Yemen last week.,"Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his family from the war-torn country. The violence in Yemen has escalated, with more than 200 people killed in the past 11 days. The U.S. government has not made plans to evacuate private citizens from Yemen, causing criticism from Yemeni-American advocates. Fierce fighting continues and there is an electrical blackout in parts of the country. Saudi Arabia has signed off on the delivery of medical supplies to Yemen.",Jamal al-Labani was killed in a mortar strike in Yemen.,"Jamal al-Labani was killed in a mortar strike in Yemen last week, his family says.","Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his family. The violence in Yemen has escalated, with over 200 people killed in the past 11 days. Yemeni-Americans are trapped in the conflict and are not receiving enough help from the U.S. government. The U.S. State Department has no plans to evacuate private citizens from Yemen, causing criticism from advocacy groups. Fierce fighting continues in Yemen, with an electrical blackout in parts of the country and political moves that could further divide the military. Saudi Arabia has signed off on the delivery of medical supplies and personnel to Yemen.","Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen, making him the first American victim in the current conflict. He had been trying to evacuate his family from the country, but was unable to due to the escalating violence. The U.S. government has faced criticism for not doing enough to help Yemeni-Americans trapped in the conflict. The fighting continues and there is an electrical blackout in parts of the country. The International Committee of the Red Cross is working to deliver medical supplies and aid to those affected by the violence.",The U.S. State Department says there are no current plans to evacuate private U.S. citizens from Yemen.,2,2,2,1,2,-1,-1,-1,1,-1
3,"A U.S. citizen, Jamal al-Labani, was killed in a mortar strike in Yemen while trying to evacuate his family. The violence in Yemen has been intensifying, with Houthi rebels taking control and Saudi Arabia launching airstrikes. The U.S. government has not evacuated its citizens, causing criticism from Yemeni-American advocates. The Red Cross is delivering medical supplies to Yemen, where many are injured from the conflict.",Jamal al-Labani had hoped to bring his pregnant wife and 2-year-daughter back to the United States from war-torn Yemen.,"Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his pregnant wife and daughter. The violence in Yemen has escalated, leaving many Yemeni-Americans trapped and in need of assistance. The U.S. government has not made plans to evacuate its citizens, causing criticism from advocacy groups. Meanwhile, intense airstrikes and an electrical blackout continue to affect the country.",Jamal al-Labani was killed in a mortar strike in Yemen last week.,"Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his family from the war-torn country. The violence in Yemen has escalated, with more than 200 people killed in the past 11 days. The U.S. government has not made plans to evacuate private citizens from Yemen, causing criticism from Yemeni-American advocates. Fierce fighting continues and there is an electrical blackout in parts of the country. Saudi Arabia has signed off on the delivery of medical supplies to Yemen.",Jamal al-Labani was killed in a mortar strike in Yemen.,"Jamal al-Labani was killed in a mortar strike in Yemen last week, his family says.","Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen while trying to evacuate his family. The violence in Yemen has escalated, with over 200 people killed in the past 11 days. Yemeni-Americans are trapped in the conflict and are not receiving enough help from the U.S. government. The U.S. State Department has no plans to evacuate private citizens from Yemen, causing criticism from advocacy groups. Fierce fighting continues in Yemen, with an electrical blackout in parts of the country and political moves that could further divide the military. Saudi Arabia has signed off on the delivery of medical supplies and personnel to Yemen.","Jamal al-Labani, a U.S. citizen, was killed in a mortar strike in Yemen, making him the first American victim in the current conflict. He had been trying to evacuate his family from the country, but was unable to due to the escalating violence. The U.S. government has faced criticism for not doing enough to help Yemeni-Americans trapped in the conflict. The fighting continues and there is an electrical blackout in parts of the country. The International Committee of the Red Cross is working to deliver medical supplies and aid to those affected by the violence.",The U.S. State Department says there are no current plans to evacuate private U.S. citizens from Yemen.,2,2,2,1,2,-1,-1,-1,1,-1
4,"The Supreme Court oral arguments about marriage equality highlighted the changing definition of marriage and the role of politics in the court's decision-making. Justice Ruth Bader Ginsburg alluded to the historical subordination of women in marriage, while Justice Clarence Thomas, a black man married to a white woman, remained silent. The court's decision is expected to be divided along ideological lines, reflecting the increasing partisanship of the court.","The Supreme Court's ruling on marriage equality is a political decision, and it's a political court.","The Supreme Court has evolved in the past, but it still has a long way to go.",The author discusses the recent Supreme Court oral arguments about marriage equality and how the definition of marriage has evolved over time. They also mention the role of politics in the court's decision-making process and the possibility of a divided ruling. The article ultimately argues that the court should rule in favor of marriage equality.,"The best part of the Supreme Court oral arguments about marriage equality was when Justice Ruth Bader Ginsburg alluded to S&M. OK, she didn't actually mention S&M, but Ginsburg talked about how the institution of marriage has already changed from long ago, when it was ""a dominant and a subordinate relationship.""","The article discusses the recent Supreme Court oral arguments on marriage equality and how the definition of marriage has changed over time. It also highlights the role of politics in the court's decision-making process and the potential impact of the ruling on both same-sex and opposite-sex couples. The author argues that the court has become increasingly partisan and divorced from reason, and the ultimate decision may depend on which side of the court holds more influence.",The Supreme Court's oral arguments about marriage equality were a fascinating blend of politics and law.,The Supreme Court oral arguments on marriage equality included references to the changing definition of marriage and the historical discrimination against women and interracial couples. The court appeared divided along ideological lines and influenced by political agendas. The question remains whether the court will make a decision based on reason or politics.,"The Supreme Court oral arguments about marriage equality were marked by references to the changing definition of marriage and the role of politics in the court's decision-making. The article argues that the court's evolution and partisanship may impact the outcome of the case. Despite this, the author believes that the law and morality support a ruling in favor of marriage equality.","The best part of the Supreme Court oral arguments about marriage equality was when Justice Ruth Bader Ginsburg alluded to S&M. OK, she didn't actually mention S&M, but Ginsburg talked about how the institution of marriage has already changed from long ago, when it was ""a dominant and a subordinate relationship.""",2,1,1,1,2,-1,1,1,1,-1
5,"The Supreme Court oral arguments about marriage equality highlighted the changing definition of marriage and the role of politics in the court's decision-making. Justice Ruth Bader Ginsburg alluded to the historical subordination of women in marriage, while Justice Clarence Thomas, a black man married to a white woman, remained silent. The court's decision is expected to be divided along ideological lines, reflecting the increasing partisanship of the court.","The Supreme Court's ruling on marriage equality is a political decision, and it's a political court.","The Supreme Court has evolved in the past, but it still has a long way to go.",The author discusses the recent Supreme Court oral arguments about marriage equality and how the definition of marriage has evolved over time. They also mention the role of politics in the court's decision-making process and the possibility of a divided ruling. The article ultimately argues that the court should rule in favor of marriage equality.,"The best part of the Supreme Court oral arguments about marriage equality was when Justice Ruth Bader Ginsburg alluded to S&M. OK, she didn't actually mention S&M, but Ginsburg talked about how the institution of marriage has already changed from long ago, when it was ""a dominant and a subordinate relationship.""","The article discusses the recent Supreme Court oral arguments on marriage equality and how the definition of marriage has changed over time. It also highlights the role of politics in the court's decision-making process and the potential impact of the ruling on both same-sex and opposite-sex couples. The author argues that the court has become increasingly partisan and divorced from reason, and the ultimate decision may depend on which side of the court holds more influence.",The Supreme Court's oral arguments about marriage equality were a fascinating blend of politics and law.,The Supreme Court oral arguments on marriage equality included references to the changing definition of marriage and the historical discrimination against women and interracial couples. The court appeared divided along ideological lines and influenced by political agendas. The question remains whether the court will make a decision based on reason or politics.,"The Supreme Court oral arguments about marriage equality were marked by references to the changing definition of marriage and the role of politics in the court's decision-making. The article argues that the court's evolution and partisanship may impact the outcome of the case. Despite this, the author believes that the law and morality support a ruling in favor of marriage equality.","The best part of the Supreme Court oral arguments about marriage equality was when Justice Ruth Bader Ginsburg alluded to S&M. OK, she didn't actually mention S&M, but Ginsburg talked about how the institution of marriage has already changed from long ago, when it was ""a dominant and a subordinate relationship.""",2,1,1,1,2,-1,1,1,1,0
6,"The Supreme Court oral arguments about marriage equality highlighted the changing definition of marriage and the role of politics in the court's decision-making. Justice Ruth Bader Ginsburg alluded to the historical subordination of women in marriage, while Justice Clarence Thomas, a black man married to a white woman, remained silent. The court's decision is expected to be divided along ideological lines, reflecting the increasing partisanship of the court.","The Supreme Court's ruling on marriage equality is a political decision, and it's a political court.","The Supreme Court has evolved in the past, but it still has a long way to go.",The author discusses the recent Supreme Court oral arguments about marriage equality and how the definition of marriage has evolved over time. They also mention the role of politics in the court's decision-making process and the possibility of a divided ruling. The article ultimately argues that the court should rule in favor of marriage equality.,"The best part of the Supreme Court oral arguments about marriage equality was when Justice Ruth Bader Ginsburg alluded to S&M. OK, she didn't actually mention S&M, but Ginsburg talked about how the institution of marriage has already changed from long ago, when it was ""a dominant and a subordinate relationship.""","The article discusses the recent Supreme Court oral arguments on marriage equality and how the definition of marriage has changed over time. It also highlights the role of politics in the court's decision-making process and the potential impact of the ruling on both same-sex and opposite-sex couples. The author argues that the court has become increasingly partisan and divorced from reason, and the ultimate decision may depend on which side of the court holds more influence.",The Supreme Court's oral arguments about marriage equality were a fascinating blend of politics and law.,The Supreme Court oral arguments on marriage equality included references to the changing definition of marriage and the historical discrimination against women and interracial couples. The court appeared divided along ideological lines and influenced by political agendas. The question remains whether the court will make a decision based on reason or politics.,"The Supreme Court oral arguments about marriage equality were marked by references to the changing definition of marriage and the role of politics in the court's decision-making. The article argues that the court's evolution and partisanship may impact the outcome of the case. Despite this, the author believes that the law and morality support a ruling in favor of marriage equality.","The best part of the Supreme Court oral arguments about marriage equality was when Justice Ruth Bader Ginsburg alluded to S&M. OK, she didn't actually mention S&M, but Ginsburg talked about how the institution of marriage has already changed from long ago, when it was ""a dominant and a subordinate relationship.""",2,1,1,1,2,-1,1,1,1,-1
7,"President Obama, along with other government officials, discussed the impact of climate change on public health at a roundtable discussion at Howard University. They emphasized the need for action to protect vulnerable Americans and the potential for technology and collaboration to mitigate the effects of climate change. The World Health Organization estimates that climate change will cause an increase in deaths and health issues, particularly in developing countries. However, there is still a significant portion of the population that doubts the existence of climate change.","The impacts of climate change on health will depend on a multitude of factors, according to the Environmental Protection Agency.","President Obama, along with other government officials and health experts, discussed the impact of climate change on public health. They emphasized the need for action to protect vulnerable populations, such as children and the elderly, and highlighted the role of medical professionals in addressing the issue. The article also mentions the potential consequences of climate change on air quality, food security, and disease. Despite some skepticism, the group believes that with innovation and determination, the effects of climate change can be mitigated.",Talking about climate change is getting personal.,"A roundtable discussion at Howard University focused on the impact of climate change on public health, with President Obama, U.S. Surgeon General Vivek Murthy, and EPA Administrator Gina McCarthy in attendance. The discussion highlighted the personal and immediate effects of climate change on individuals and communities, and stressed the importance of taking action to protect vulnerable populations. The article also discusses the role of medical professionals in conveying the urgency of addressing climate change as a public health issue.",The President joined the U.S. Surgeon General and the EPA Administrator for a roundtable discussion on climate change and public health Tuesday.,"President Obama, along with other health experts, discussed the impact of climate change on public health at a roundtable at Howard University. They emphasized the importance of addressing climate change to protect vulnerable populations and prevent health issues like asthma, under-nutrition, and mosquito-borne diseases. The World Health Organization estimates that climate change will cause 250,000 additional deaths per year by 2050. The EPA warns of the dangerous effects of rising temperatures and extreme weather events, but there is still skepticism among some Americans. The article suggests that framing climate change as a public health issue may be the most effective way to raise awareness and promote action.","The President, U.S. Surgeon General and EPA Administrator talk about climate change and public health.","The impacts of climate change on health will depend on a multitude of factors, according to the Environmental Protection Agency.","President Obama, along with other health officials, discussed the impact of climate change on public health during a roundtable discussion at Howard University. They emphasized the personal effects of climate change on individuals and families, and the need for action to protect vulnerable populations. The World Health Organization estimates that climate change will cause an additional 250,000 deaths per year by 2050, and medical professionals may be the best messengers for addressing this issue.",2,2,2,2,1,-1,-1,-1,-1,1
1,"President Obama, along with other government officials, discussed the impact of climate change on public health at a roundtable discussion at Howard University. They emphasized the need for action to protect vulnerable Americans and the potential for technology and collaboration to mitigate the effects of climate change. The World Health Organization estimates that climate change will cause an increase in deaths and health issues, particularly in developing countries. However, there is still a significant portion of the population that doubts the existence of climate change.","The impacts of climate change on health will depend on a multitude of factors, according to the Environmental Protection Agency.","President Obama, along with other government officials and health experts, discussed the impact of climate change on public health. They emphasized the need for action to protect vulnerable populations, such as children and the elderly, and highlighted the role of medical professionals in addressing the issue. The article also mentions the potential consequences of climate change on air quality, food security, and disease. Despite some skepticism, the group believes that with innovation and determination, the effects of climate change can be mitigated.",Talking about climate change is getting personal.,"A roundtable discussion at Howard University focused on the impact of climate change on public health, with President Obama, U.S. Surgeon General Vivek Murthy, and EPA Administrator Gina McCarthy in attendance. The discussion highlighted the personal and immediate effects of climate change on individuals and communities, and stressed the importance of taking action to protect vulnerable populations. The article also discusses the role of medical professionals in conveying the urgency of addressing climate change as a public health issue.",The President joined the U.S. Surgeon General and the EPA Administrator for a roundtable discussion on climate change and public health Tuesday.,"President Obama, along with other health experts, discussed the impact of climate change on public health at a roundtable at Howard University. They emphasized the importance of addressing climate change to protect vulnerable populations and prevent health issues like asthma, under-nutrition, and mosquito-borne diseases. The World Health Organization estimates that climate change will cause 250,000 additional deaths per year by 2050. The EPA warns of the dangerous effects of rising temperatures and extreme weather events, but there is still skepticism among some Americans. The article suggests that framing climate change as a public health issue may be the most effective way to raise awareness and promote action.","The President, U.S. Surgeon General and EPA Administrator talk about climate change and public health.","The impacts of climate change on health will depend on a multitude of factors, according to the Environmental Protection Agency.","President Obama, along with other health officials, discussed the impact of climate change on public health during a roundtable discussion at Howard University. They emphasized the personal effects of climate change on individuals and families, and the need for action to protect vulnerable populations. The World Health Organization estimates that climate change will cause an additional 250,000 deaths per year by 2050, and medical professionals may be the best messengers for addressing this issue.",2,2,2,2,1,-1,-1,-1,-1,1
8,"President Obama, along with other government officials, discussed the impact of climate change on public health at a roundtable discussion at Howard University. They emphasized the need for action to protect vulnerable Americans and the potential for technology and collaboration to mitigate the effects of climate change. The World Health Organization estimates that climate change will cause an increase in deaths and health issues, particularly in developing countries. However, there is still a significant portion of the population that doubts the existence of climate change.","The impacts of climate change on health will depend on a multitude of factors, according to the Environmental Protection Agency.","President Obama, along with other government officials and health experts, discussed the impact of climate change on public health. They emphasized the need for action to protect vulnerable populations, such as children and the elderly, and highlighted the role of medical professionals in addressing the issue. The article also mentions the potential consequences of climate change on air quality, food security, and disease. Despite some skepticism, the group believes that with innovation and determination, the effects of climate change can be mitigated.",Talking about climate change is getting personal.,"A roundtable discussion at Howard University focused on the impact of climate change on public health, with President Obama, U.S. Surgeon General Vivek Murthy, and EPA Administrator Gina McCarthy in attendance. The discussion highlighted the personal and immediate effects of climate change on individuals and communities, and stressed the importance of taking action to protect vulnerable populations. The article also discusses the role of medical professionals in conveying the urgency of addressing climate change as a public health issue.",The President joined the U.S. Surgeon General and the EPA Administrator for a roundtable discussion on climate change and public health Tuesday.,"President Obama, along with other health experts, discussed the impact of climate change on public health at a roundtable at Howard University. They emphasized the importance of addressing climate change to protect vulnerable populations and prevent health issues like asthma, under-nutrition, and mosquito-borne diseases. The World Health Organization estimates that climate change will cause 250,000 additional deaths per year by 2050. The EPA warns of the dangerous effects of rising temperatures and extreme weather events, but there is still skepticism among some Americans. The article suggests that framing climate change as a public health issue may be the most effective way to raise awareness and promote action.","The President, U.S. Surgeon General and EPA Administrator talk about climate change and public health.","The impacts of climate change on health will depend on a multitude of factors, according to the Environmental Protection Agency.","President Obama, along with other health officials, discussed the impact of climate change on public health during a roundtable discussion at Howard University. They emphasized the personal effects of climate change on individuals and families, and the need for action to protect vulnerable populations. The World Health Organization estimates that climate change will cause an additional 250,000 deaths per year by 2050, and medical professionals may be the best messengers for addressing this issue.",2,2,2,2,1,-1,-1,1,-1,1
7,"The Missouri National Guard used highly militarized words such as ""enemy forces"" and ""adversaries"" to refer to protesters, according to documents obtained by CNN.","Documents obtained by CNN show that the Missouri National Guard used highly militarized language to refer to protesters in Ferguson, Missouri during the riots in 2014. The language, including terms like ""enemy forces"" and ""adversaries,"" has sparked concern among community leaders and civil rights activists. The National Guard later changed the language and expressed concern about the perception of their deployment, but some in Ferguson criticized their actions.","As the Missouri National Guard prepared to deploy to help quell riots in Ferguson, Missouri, they used highly militarized words to refer to protesters, according to documents obtained by CNN.","The Missouri National Guard used militarized language in their mission briefings to refer to protesters during the Ferguson riots in 2014. The language was later changed after concerns were raised about the perception of viewing American citizens as enemies. The National Guard was also concerned about operational security and potential threats from protesters. Some criticized the National Guard for not being deployed quickly enough, but they defended their mission as supporting law enforcement rather than confronting looters.","The Missouri National Guard used highly militarized words to describe protesters in Ferguson, according to documents obtained by CNN.","Documents obtained by CNN reveal that the Missouri National Guard used militarized language such as ""enemy forces"" and ""adversaries"" to refer to protesters during the Ferguson riots in 2014. The language was later changed after concerns were raised about its potential inflammatory nature. The National Guard was also concerned about operational security and the possibility of attacks from protesters. Some criticized the National Guard for not doing enough to protect businesses during the riots.","Documents obtained by CNN show that the Missouri National Guard used militarized language, such as ""enemy forces"" and ""adversaries,"" to refer to protesters in Ferguson, Missouri during the riots in 2014. The language was later changed after concerns were raised about the perception of the deployment. The National Guard was also concerned about potential threats and how information could be obtained by adversaries. Some community members were unhappy with the National Guard's response to the riots, but the National Guard defended their actions.","As the Missouri National Guard prepared to deploy to help quell riots in Ferguson, Missouri, that raged sporadically last year, the guard used highly militarized words such as ""enemy forces"" and ""adversaries"" to refer to protesters, according to documents obtained by CNN.","The Missouri National Guard used militarized language and tactics while preparing to deploy to Ferguson, Missouri to quell riots following the shooting of Michael Brown. The language was changed after concerns were raised, but the documents reveal the guard's concerns about protesters and their potential use of violence. The guard was also concerned about protecting their own security and gathering intelligence on potential threats. Some criticized the guard for not being deployed quickly enough, but they were not responsible for confronting looters.","As the Missouri National Guard prepared to deploy to help quell riots in Ferguson, Missouri, that raged sporadically last year, the guard used highly militarized words such as ""enemy forces"" and ""adversaries"" to refer to protesters, according to documents obtained by CNN.",1,1,1,2,2,1,1,1,-1,-1
